RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,date,dropoff_date,temperature_2m,relative_humidity_2m,rain,snowfall,snow_depth,pressure_msl,wind_speed_100m,wind_direction_100m
,203,95,,9.18,29.56,2.75,0.0,0.0,0.0,0.3,32.61,,2021-07-07 08:00:00+00:00,2021-07-07 08:29:00,50.8208,55.244194,0.0,0.0,0.0,1014.9,11.113451,294.90472
,131,205,,1.37,25.92,2.75,0.0,0.0,0.0,0.3,28.97,,2021-07-21 14:00:00+00:00,2021-07-21 14:14:00,35.520798,91.7539,0.0,0.0,0.0,1013.5,4.3349743,228.36655
,227,39,,8.54,43.45,2.75,0.0,0.0,0.0,0.3,46.5,,2021-07-21 14:00:00+00:00,2021-07-21 14:40:00,35.520798,91.7539,0.0,0.0,0.0,1013.5,4.3349743,228.36655
,75,74,,1.26,20.65,2.75,0.0,0.0,0.0,0.3,23.7,,2021-07-13 09:00:00+00:00,2021-07-13 09:07:00,42.540802,53.01958,0.1,0.0,0.0,1012.1,16.919998,270.0
,235,142,,7.72,35.53,2.75,0.0,0.0,0.0,0.3,38.58,,2021-07-13 09:00:00+00:00,2021-07-13 09:19:00,42.540802,53.01958,0.1,0.0,0.0,1012.1,16.919998,270.0
,131,131,,2.18,19.37,2.75,0.0,0.0,6.55,0.3,28.97,,2021-07-23 13:00:00+00:00,2021-07-23 13:12:00,48.0308,48.092842,0.0,0.0,0.0,1011.4,7.754637,291.80148
,95,139,,8.69,29.56,2.75,0.0,0.0,0.0,0.3,32.61,,2021-07-27 17:00:00+00:00,2021-07-27 17:33:00,40.3808,90.31807,0.0,0.0,0.0,1012.2,1.1384199,198.43504
,97,35,,5.58,20.93,2.75,0.0,0.0,0.0,0.3,23.98,,2021-07-27 17:00:00+00:00,2021-07-27 17:50:00,40.3808,90.31807,0.0,0.0,0.0,1012.2,1.1384199,198.43504
,152,74,,2.06,17.69,2.75,0.0,0.0,0.0,0.3,20.74,,2021-07-29 14:00:00+00:00,2021-07-29 14:20:00,43.1708,81.108864,0.0,0.0,0.0,1011.3,8.647496,267.6141
,141,98,,13.01,55.0,2.75,0.0,0.0,0.0,0.3,58.05,,2021-07-29 15:00:00+00:00,2021-07-29 16:01:00,40.7408,86.88844,0.0,0.0,0.0,1012.5,8.669949,274.76355
,42,78,,6.57,23.63,5.5,0.0,0.0,0.0,0.3,29.43,,2021-07-17 07:00:00+00:00,2021-07-17 07:19:00,44.160797,77.27334,1.1,0.0,0.0,1020.1,9.565437,250.20103
,20,17,,16.11,44.55,2.75,0.0,0.0,6.55,0.3,54.15,,2021-07-17 07:00:00+00:00,2021-07-17 07:33:00,44.160797,77.27334,1.1,0.0,0.0,1020.1,9.565437,250.20103
,69,78,,3.12,30.02,0.0,0.0,0.0,0.0,0.3,30.32,,2021-07-02 10:00:00+00:00,2021-07-02 10:20:00,41.5508,80.41041,0.1,0.0,0.0,1014.2,1.2979984,303.6901
,42,151,,3.43,21.96,1.35,0.0,0.0,0.0,0.3,23.61,,2021-07-09 05:00:00+00:00,2021-07-09 05:14:00,54.7808,37.479156,0.0,0.0,0.0,1015.2,5.0528407,265.91446
,242,69,,4.47,27.27,2.75,0.0,0.0,0.0,0.3,30.32,,2021-07-21 15:00:00+00:00,2021-07-21 15:29:00,34.2608,95.42989,0.0,0.0,0.0,1013.7,3.2599385,173.6599
,250,95,,12.91,40.02,2.75,0.0,0.0,6.55,0.3,49.62,,2021-07-21 15:00:00+00:00,2021-07-21 15:46:00,34.2608,95.42989,0.0,0.0,0.0,1013.7,3.2599385,173.6599
,37,177,,1.53,13.2,0.0,0.0,0.0,0.0,0.3,13.5,,2021-07-19 12:00:00+00:00,2021-07-19 12:11:00,44.160797,63.70495,0.1,0.0,0.0,1011.0,9.0,286.26028
,38,233,,21.54,45.23,5.5,0.0,0.0,6.55,0.3,57.58,,2021-07-15 07:00:00+00:00,2021-07-15 07:52:00,50.1008,46.3476,0.0,0.0,0.0,1012.0,13.1041975,254.05453
,166,244,,3.18,22.86,2.75,0.0,0.0,0.0,0.3,25.91,,2021-07-15 07:00:00+00:00,2021-07-15 07:15:00,50.1008,46.3476,0.0,0.0,0.0,1012.0,13.1041975,254.05453
,32,51,,0.0,22.45,2.75,0.0,0.0,0.0,0.3,25.5,,2021-07-16 20:00:00+00:00,2021-07-16 20:15:00,29.2208,94.624054,0.0,0.0,0.0,1021.0,7.072878,165.2564
,130,130,,177050.84,28.74,2.75,0.0,0.0,0.0,0.3,31.79,,2021-07-27 18:00:00+00:00,2021-07-27 18:02:00,37.3208,95.49147,0.0,0.0,0.0,1012.0,2.52,180.0
,41,42,,1.61,27.69,2.75,0.0,0.0,0.0,0.3,30.74,,2021-07-17 08:00:00+00:00,2021-07-17 08:07:00,47.8508,73.64293,0.2,0.0,0.0,1017.9,6.9899354,281.88864
,198,117,,11.53,41.69,2.75,0.0,0.0,2.45,0.3,47.19,,2021-07-17 08:00:00+00:00,2021-07-17 08:37:00,47.8508,73.64293,0.2,0.0,0.0,1017.9,6.9899354,281.88864
,226,205,,16.44,45.12,2.75,0.0,0.0,0.0,0.3,48.17,,2021-07-29 16:00:00+00:00,2021-07-29 17:36:00,41.3708,80.68316,0.0,0.0,0.0,1012.8,6.130579,266.6336
,225,33,,4.94,20.93,2.75,0.0,0.0,0.0,0.3,23.98,,2021-07-02 10:00:00+00:00,2021-07-02 10:34:00,41.5508,80.41041,0.1,0.0,0.0,1014.2,1.2979984,303.6901
,33,71,,5.15,25.4,2.75,0.0,0.0,0.0,0.3,28.45,,2021-07-02 11:00:00+00:00,2021-07-02 11:40:00,42.450798,77.67137,0.2,0.0,0.0,1014.0,3.396233,302.00534
,144,18,,16.11,49.46,2.75,0.0,0.0,0.0,0.3,52.51,,2021-07-02 11:00:00+00:00,2021-07-02 11:47:00,42.450798,77.67137,0.2,0.0,0.0,1014.0,3.396233,302.00534
,76,117,,9.26,43.7,2.75,0.0,0.0,2.45,0.3,49.2,,2021-07-21 15:00:00+00:00,2021-07-21 15:29:00,34.2608,95.42989,0.0,0.0,0.0,1013.7,3.2599385,173.6599
,121,124,,0.0,34.22,2.75,0.0,0.0,0.0,0.3,37.27,,2021-07-19 12:00:00+00:00,2021-07-19 12:30:00,44.160797,63.70495,0.1,0.0,0.0,1011.0,9.0,286.26028
,76,87,,9.03,38.27,2.75,0.0,0.0,0.0,0.3,41.32,,2021-07-19 12:00:00+00:00,2021-07-19 12:52:00,44.160797,63.70495,0.1,0.0,0.0,1011.0,9.0,286.26028
,225,55,,11.24,36.16,2.75,0.0,0.0,0.0,0.3,39.21,,2021-07-11 02:00:00+00:00,2021-07-11 02:44:00,38.5808,91.86268,0.0,0.0,0.0,1015.9,2.8799999,180.0
,174,250,,6.54,23.09,2.75,0.0,0.0,0.0,0.3,26.14,,2021-07-04 20:00:00+00:00,2021-07-04 20:14:00,29.7608,77.67314,0.0,0.0,0.0,1014.0,5.3517847,137.72638
,168,47,,3.16,22.45,2.75,0.0,0.0,0.0,0.3,25.5,,2021-07-04 21:00:00+00:00,2021-07-04 21:18:00,28.8608,78.773674,0.0,0.0,0.0,1013.8,4.8433046,131.98714
,160,197,,3.7,19.4,2.75,0.0,0.0,0.0,0.3,22.45,,2021-07-04 22:00:00+00:00,2021-07-04 22:13:00,28.5008,78.14828,0.0,0.0,0.0,1013.6,5.634891,116.56499
,116,45,,9.74,37.48,2.75,0.0,0.0,0.0,0.3,40.53,,2021-07-15 08:00:00+00:00,2021-07-15 08:42:00,50.5508,45.082706,0.0,0.0,0.0,1011.7,15.484185,252.40749
,25,37,,4.52,17.53,0.0,0.0,3.97,0.0,0.3,21.8,,2021-07-16 22:00:00+00:00,2021-07-16 22:29:00,27.6908,94.9396,0.0,0.0,0.0,1019.7,4.3349743,175.23645
,142,10,,15.74,59.72,2.75,0.0,0.0,0.0,0.3,62.77,,2021-07-13 10:00:00+00:00,2021-07-13 10:44:00,40.8308,59.649654,0.0,0.0,0.0,1013.0,15.141414,251.99574
,222,35,,0.6,18.95,2.75,0.0,0.0,0.0,0.3,22.0,,2021-07-17 09:00:00+00:00,2021-07-17 09:12:00,42.9908,82.24904,3.0,0.0,0.0,1019.9,10.24578,288.43503
